title,company,location,classification,sub_classification,salary,work_type,posted_date,url,description
STEM Analyst – Impacts of Advanced Technologies APS Level 4/5-6,Department of Defence,Adelaide,Government & Defence,Other,"$69,811 - $95,873 (plus Super)",Full time,20/05/2022,https://www.seek.com.au//job/57057656?type=promoted,"<div class=""yvsb870 _1v38w810"">
 <p>
  <strong>
   Your Role
  </strong>
 </p>
 <p>
  The Defence Science and Technology Group (DSTG) is offering two ongoing positions as a STEM Analyst on the Impacts of Advanced Technologies.
  <br/>
  <br/>
  You will develop a deep understanding of a range of technologies, and work with experts to foresee how these technologies will develop into the future. You will then creatively assess how these developments might strengthen or weaken Australia’s national interests, with a focus on Defence and national security.
  <br/>
  <br/>
  The role involves desk-based technical research and analysis as part of a large team responsible for providing emerging technology and foresight advice to Defence and other government departments. You will be responsible for a technical area that corresponds to your current S&amp;T skills, and will broaden your expertise into a range of fields relevant to Defence (for example AI, cyber, biotechnology, quantum and many others). You will be trained in role-specific analytic skills, including data analytics and foresight techniques. You will develop a sound understanding of the structure and decision-making processes of the Defence Department, to ensure your advice is tailored to have an impact. You will develop into a communications expert, able to concisely explain technical issues to busy, non-technical stakeholders. Outputs will include written reports, verbal briefings, multi-media and infographics. The role requires building networks across our own team of experts, as well as broader DSTG, Defence and intelligence.
  <br/>
  <br/>
 </p>
 <p>
  <strong>
   Our Team
  </strong>
 </p>
 <p>
  The technology analyst team is a part of the Defence Impacts of Emerging Technology (DIET) Group, within Strategy and Joint Force (SJF) Major Science and Technology Capability (MSTC), which is itself within the Joint and Operations Analysis Division of the Defence Science and Technology Group (DSTG).
  <br/>
  <br/>
  This team is organised under DSTG’s Strategic Futures Project, and works closely with the Critical Technology Foresight (CTF) Group. You will be joining a project team of approximately 25 staff, including technology analysts (like this position), experts in tools and methods (such as AI experts who write programs to assist the analysts) and social scientists (who evaluate the impact of technology on society).
  <br/>
  <br/>
  The Strategic Futures Project is a centre of gravity within government for emerging technology and foresight advice. Our advice feeds into decision-making, such as for senior Defence committees, the Department’s S&amp;T portfolio planning and capability planning for the ADF. We play a key role in whole-of-government decision-making via our strong linkages to the Critical Technology Policy Coordination Office in PM&amp;C. We partner with DSTG’s 2000 experts, across Defence, policy and intelligence agencies, and with international experts.
  <br/>
  <br/>
  Our team is passionate, professional, welcoming and inclusive.
  <br/>
  <br/>
 </p>
 <p>
  <strong>
   Our Ideal Candidate
  </strong>
 </p>
 <p>
  We are seeking an Australian citizen who is naturally curious and motivated to develop broad expertise across diverse emerging technologies. Candidates from all S&amp;T disciplines will be considered, but we especially seek experts in the physical sciences, engineering or systems analysis. We seek science-communicators who are passionate about making an impact for the nation. Ideally you will have experience in the APS, academia or industry. A pre-existing interest in Defence is not required, but you must be open to developing this.
  <br/>
  <br/>
 </p>
 <p>
  Application Closing Date: Friday 3 June, 2022
 </p>
 <p>
 </p>
 <p>
  For further information please review the job information pack, reference
  <strong>
   DSTG/02119/22
  </strong>
  on
  <a href=""https://defencecareers.nga.net.au/?jati=B9B11BC9-9194-AB88-90BD-C88DBEBC300F"" target=""_blank"">
   https://defencecareers.nga.net.au/?jati=B9B11BC9-9194-AB88-90BD-C88DBEBC300F
  </a>
 </p>
</div>"
Configuration and Data Controller,BAE Systems,Adelaide,Engineering,Systems Engineering,0,Full time,20/05/2022,https://www.seek.com.au//job/57051707?type=promoted,"<div class=""yvsb870 _1v38w810"">
 <ul>
  <li>
   <strong>
    All Systems GO! Be part of the next generation of defence technology
   </strong>
  </li>
  <li>
   <strong>
    Ongoing career development and opportunity to work on a variety of interesting Defence projects
   </strong>
  </li>
  <li>
   <strong>
    Enjoy flexibility
   </strong>
   <strong>
    , engaging work and a
   </strong>
   <strong>
    culture that embraces diversity and open-mindedness
   </strong>
  </li>
 </ul>
 <p>
 </p>
 <p>
  At BAE Systems we are all systems go as we continue to drive innovation and seek passionate and talented people to join our business. We currently have a new opportunity as a Configuration and Data Controller within our Defence Manufacturing and Support business based in Edinburgh Parks, Adelaide.
 </p>
 <p>
  <strong>
  </strong>
 </p>
 <p>
  <strong>
   What this opportunity will mean for you:
  </strong>
 </p>
 <ul>
  <li>
   Purposeful work where your efforts are recognised in an environment where you can thrive
  </li>
  <li>
   Joining an organisation that is passionate about developing some of the most impressive careers in the world
  </li>
  <li>
   Industry-leading flexibility options to unlock the talent and diversity of every individual
  </li>
  <li>
   Unique opportunities to contribute to programs of national significance whilst growing your skills
  </li>
  <li>
   A strong safety culture, inclusive teams and work to be proud of, underpinned by a compelling set of values
  </li>
 </ul>
 <p>
  <strong>
  </strong>
 </p>
 <p>
  <strong>
  </strong>
 </p>
 <p>
  <strong>
   Your new role:
  </strong>
 </p>
 <p>
  An opportunity has arisen for a committed Configuration and Data Controller to apply their analytical skills and make a valuable contribution within our Defence Manufacturing and Support business.
 </p>
 <p>
 </p>
 <p>
  Reporting to the Manufacturing and Support Engineering Manager, you will be part of an inclusive and supportive team, and will join our growing business in an exciting time on a permanent and full time basis.
 </p>
 <p>
 </p>
 <p>
  Supported by a business wide Configuration Management network, this opportunity will see you:
 </p>
 <ul>
  <li>
   Maintain the configuration and data management practices and systems within our Manufacturing and Support business
  </li>
  <li>
   Undertake configuration and data management planning, including product and documentation identification and control
  </li>
  <li>
   Perform configuration and data status accounting and reporting
  </li>
  <li>
   Provide configuration and data management advice, support and training to internal and external stakeholders
  </li>
  <li>
   Contribute to the integrity of the configuration management system including processes, tools and data
  </li>
  <li>
   Perform other configuration management tasks including managing data, parts, software and documents
  </li>
  <li>
   Ensure program documents are reviewed, approved and authorised in accordance with defined processes
  </li>
  <li>
   Identify and investigate configuration and data problems and formulate strategies for their resolution
  </li>
 </ul>
 <p>
 </p>
 <p>
 </p>
 <p>
  <strong>
   About you
  </strong>
 </p>
 <p>
  As an ideal applicant for this opportunity, you'll have:
 </p>
 <ul>
  <li>
   Configuration or Data control/management experience or relevant experience in an engineering/technical environment.  Applicants with relevant experience within other industries are encouraged to apply
  </li>
  <li>
   Good attention to detail and good communication skills with the ability to develop effective relationships with stakeholders
  </li>
  <li>
   Strong computer literacy skills, analytical and problem solving skills
  </li>
  <li>
   Self-motivation and the drive to improve current processes
  </li>
 </ul>
 <p>
 </p>
 <p>
  <em>
  </em>
 </p>
 <p>
  Whilst not essential, a technical qualification or experience utilising engineering/manufacturing configuration data management systems, will be highly regarded.
 </p>
 <p>
 </p>
 <p>
 </p>
 <p>
 </p>
 <p>
  Research shows that some candidates hesitate to apply for roles if they feel they don't meet 100% of the criteria. So, if this opportunity excites you and you have the right foundational experience and qualifications, we encourage you to apply. Whether it be for this role or another, your skills and competencies are of interest to us.
 </p>
 <p>
 </p>
 <p>
  <strong>
   Clearances
  </strong>
 </p>
 <p>
  As Defence security clearance is required for this role, applicants must be Australian citizens and eligible to obtain and maintain appropriate clearance.
 </p>
 <p>
  <em>
  </em>
 </p>
 <p>
  International Traffic in Arms Regulations (ITAR) are applicable and as such, your nationality may be a factor in determining your suitability for this role.
 </p>
 <p>
 </p>
 <p>
  Further information regarding clearances is available at:
  <a href=""https://careers.au.baesystems.com/opportunity.html"" target=""_blank"">
   https://careers.au.baesystems.com/opportunity.html
  </a>
 </p>
 <p>
 </p>
 <p>
  Applications should be addressed to: Kon Yiannikopoulos, Talent Acquisition Specialist - Engineering, and made online here.  Whilst applications must be made online, confidential enquiries are very welcome via email:
  <a href=""mailto:kon.yiannikopoulos@baesystems.com"" target=""_blank"">
   kon.yiannikopoulos@baesystems.com
  </a>
 </p>
 <p>
 </p>
 <p>
  Please be aware that pursuant to different State government health directions, vaccination mandates regarding your ability to attend our Company sites may be applicable.  Please be prepared to discuss your vaccination status with our recruiters as part of the recruitment process.
 </p>
 <p>
 </p>
 <p>
  We are a 2021 Circle Back Initiative Employer - we commit to respond to every applicant.
 </p>
 <p>
 </p>
 <p>
  <strong>
  </strong>
 </p>
 <p>
  <strong>
   Our culture
  </strong>
 </p>
 <p>
  We are committed to building a diverse and inclusive environment where our people can thrive. For us that means ensuring that the voices and talents of our employees are valued and that everyone has a sense of belonging. We do not tolerate discrimination because of differences, such as age, ability, ethnicity, gender, gender identity or expression, religion, or sexual orientation.
 </p>
 <p>
 </p>
 <p>
  If you would like to know more information about how we are supporting our employees, you can view our policies and initiatives via this
  <a href=""https://work180.com/en-au/for-women/employer/bae-systems"" target=""_blank"">
   link
  </a>
  .
 </p>
 <p>
 </p>
 <p>
  <em>
   To learn about other employment opportunities at BAE Systems, please visit:
   <a target=""_blank"">
    www.baesystemscareers.com.au
   </a>
  </em>
 </p>
 <p>
 </p>
 <p>
 </p>
 <p>
  <em>
  </em>
 </p>
</div>"
Multiple Data Analysts (APS4),Australian Bureau of Statistics,Adelaide,Science & Technology,"Mathematics, Statistics & Information Sciences","$68,852 to $75,195 (plus 15.4% super)",Full time,20/05/2022,https://www.seek.com.au//job/57056033?type=standout,"<div class=""yvsb870 _1v38w810"">
 <p>
 </p>
 <p>
  <strong>
   About the ABS
  </strong>
 </p>
 <p>
  We are Australia’s national statistical agency and an official source of independent, reliable information. We tell the real story of Australia, its economy, and its people by bringing life and meaning to numbers. We employ around 3,000 office/ work from home staff located across all capital cities and Geelong as well as 500 field-based interviewers.
  <br/>
  <br/>
 </p>
 <p>
  <strong>
   About the roles
  </strong>
 </p>
 <p>
 </p>
 <p>
  These are multiple permanent APS4 positions available full-time and part-time. Roles are based in Canberra, Sydney, Brisbane, Melbourne, Adelaide, Hobart and Perth in our Macroeconomic Statistics, Industry Statistics, Population and Labour Statistics teams.
 </p>
 <p>
 </p>
 <p>
  As a Data Analyst you will be expected to have some relevant work experience however, we will support you with training, coaching and development opportunities.
 </p>
 <p>
 </p>
 <p>
  You will work in one of our divisional teams which have a diversity of work, people and locations. You will work collaboratively in a team of professionals to produce high quality statistics that Australia needs, and learn about relevant concepts, classifications, frameworks, data sources, methods and different types of analysis.
 </p>
 <p>
 </p>
 <p>
  You will have opportunities to work on new developments such as evaluating and using new data sources and improving the processes and systems.  For example we have recently implemented the use of bank data to develop a monthly household spending indicator.
 </p>
 <p>
 </p>
 <p>
  View this video for more information on the types of work/ teams –
  <a href=""https://youtu.be/oE3G2Oyer-M"" target=""_blank"">
   APS4 Data Analysts
  </a>
 </p>
 <p>
 </p>
 <p>
  <strong>
   Duties
  </strong>
 </p>
 <p>
  <br/>
  Your responsibilities, depending on the role, may include:
 </p>
 <ul>
  <li>
   analysing data from statistical collections or administrive sources and comparing against other sources
  </li>
  <li>
   communicating findings, using judgement and real-world insights
  </li>
  <li>
   applying statistical frameworks, classifications, standards and concepts that underpin the statistics
  </li>
  <li>
   working with internal and external clients to develop fit for purpose specifications of data solutions requirements
  </li>
  <li>
   critical thinking and reasoning: anticipating and analysing issues and developing logical conclusions
  </li>
  <li>
   contributing to the design and testing of collection questionnaires and survey forms
  </li>
 </ul>
 <p>
 </p>
 <p>
  <strong>
   We are seeking people who have:
  </strong>
 </p>
 <ul>
  <li>
   sound, analytical, and creative skills, including the ability to problem solve and make decisions based on analytical evidence
  </li>
  <li>
   ability to work in and add value to a team
  </li>
  <li>
   good oral, and written communication skills
  </li>
  <li>
   ability to work flexibly in a changing environment.
  </li>
 </ul>
 <p>
  Desirable (but not essential) are:
 </p>
 <ul>
  <li>
   previous work experience in a data compilation or statistical analysis role
  </li>
  <li>
   previous experience of working in and contributing to a high performing team
  </li>
  <li>
   academic qualifications in statistics, data science, mathematics, economics or other fields with a strong quantitative component
  </li>
 </ul>
 <p>
  <strong>
   Benefits
  </strong>
 </p>
 <ul>
  <li>
   Annual salary increases
  </li>
  <li>
   Hybrid working (office and work from home)
  </li>
  <li>
   Inclusion and diversity networks
  </li>
  <li>
   Access to mentors and coaches
  </li>
  <li>
   Christmas to New Year shutdown (without using your leave)
  </li>
 </ul>
 <p>
 </p>
 <p>
 </p>
 <p>
  <br/>
  <strong>
   Applications close 11:30 PM AEDT, Sunday 6th February
  </strong>
 </p>
</div>"
Data Analyst - Funds Management,Kaizen Recruitment,Adelaide,Banking & Financial Services,Funds Management,0,Contract/Temp,20/05/2022,https://www.seek.com.au//job/57065700?type=standout,"<div class=""yvsb870 _1v38w810"">
 <strong>
  <br/>
  About the Company:
 </strong>
 <br/>
 <br/>
 Funds SA is a South Australian Government Corporation that invests and manages over AUD$42 billion on behalf of South Australian public-sector superannuation funds and approved public authorities.
 <br/>
 <br/>
 Funds SA is a collaborative, innovative, and professional organisation with the primary aim of building prosperity for South Australians whilst achieving the highest return on investment possible.
 <br/>
 <br/>
 Based in Adelaide and globally connected, Funds SA are well-known for their deep investment expertise. National and international partnerships and a “manager of managers” approach drive their pursuit of future financial prosperity through global market reach.
 <br/>
 <br/>
 Funds SA prides itself on strong leadership driving a values led, supportive culture, focused on providing opportunities to learn, grow, and work with great people.
 <br/>
 <br/>
 <strong>
  The Opportunity:
 </strong>
 <br/>
 This is an exceptional opportunity emerging from commencement of a critical data analytics project , to join a high-performing team. Reporting to the Manager, Data you will work closely with the investment team members and key internal and external stakeholders.
 <br/>
 <br/>
 You will be responsible for significant contribution to projects in addition to the BAU of the investment data management, across a multi-asset class portfolio.
 <br/>
 <br/>
 <strong>
  Key responsibilities:
 </strong>
 <br/>
 <ul>
  <li>
   Contribute to investment data management - maintenance of investment systems and monitor and enhance data governance and quality frameworks across a multi-asset class portfolio;
  </li>
  <li>
   Enhance portfolio exposure management capabilities, conduct analysis on parameters impacting exposure specifically to Funds SA;
  </li>
  <li>
   Assist with providing and validating investment data and analytics for exposure, risk and performance reporting;
  </li>
  <li>
   Support reporting on investment manager performance against custodian data;
  </li>
  <li>
   Support continuous improvement initiatives across technical advancements and reporting;
  </li>
  <li>
   Participate in a significant project to implement a new system; AND
  </li>
  <li>
   Help initiate and drive process enhancements, supporting the team and management with other adhoc tasks.
  </li>
 </ul>
 <strong>
  What we are looking for:
 </strong>
 <br/>
 <ul>
  <li>
   Proven 3+ years’ experience in investment data analytics, database management and reporting, within funds management or superannuation is ideal, investment reporting experience will be considered;
  </li>
  <li>
   Demonstrated experience in development and competency in SQL/Python, Agile Technologies will be ideal;
  </li>
  <li>
   Experience in R-studio, C Sharp, Azure technologies and with project management experience will be looked upon favourably;
  </li>
  <li>
   Mathematics/Engineering/Computer Science degree qualified is ideal, Finance or Statistics could be considered;
  </li>
  <li>
   Strong understanding of Australian and international investment markets and instruments is a must, along with technology systems; AND
  </li>
  <li>
   Strong written and verbal communication and stakeholder management skills are a must.
  </li>
 </ul>
 This is an exceptional opportunity for a data analyst to grow their career at a leading funds manager, which provides genuine professional development opportunities within a collaborative and high-performance culture.
 <br/>
 <br/>
 If you are interested in learning more about this position, please contact Matt McGilton at
 <a data-contact-match=""true"" href=""tel:0439 028 222"">
  0439 028 222
 </a>
 at Nupur Gill at
 <a data-contact-match=""true"" href=""tel:0421 828 693"">
  0421 828 693
 </a>
 at Kaizen Recruitment or apply via the included link.
 <br/>
 <br/>
 #SCR-nupur-gill
 <br/>
 #SCR-matt-mcgilton
</div>"
Senior Data Analyst,SA Health,Adelaide,Information & Communication Technology,Business/Systems Analysts,0,Full time,18/05/2022,https://www.seek.com.au//job/57015411?type=standard,"<div class=""yvsb870 _1v38w810"">
 <ul>
  <li>
   <strong>
    Department for Health and Wellbeing, Commissioning and Performance – Enterprise Data and Information
   </strong>
  </li>
  <li>
   <strong>
    Salary: $94,176 to $99,615 – ASO6 – Full Time / Ongoing Appointment
   </strong>
  </li>
 </ul>
 <p>
  The Senior Data Analyst is responsible for the delivery of objective, high quality, professional and timely statistical analysis, interpretation and reporting of health related data that is critical to and addresses the information requirements of the Department for Health and Wellbeing
 </p>
 <p>
  The South Australian public sector promotes diversity and flexible ways of working part-time. Applicants are encouraged to discuss the flexible working arrangements for this role. Appointment will be subject to a satisfactory Criminal History Check and appropriate immunisation requirements. Aboriginal and Torres Strait Islander applicants are encouraged to apply.
  <strong>
   Job ref: 793769
  </strong>
 </p>
 <p>
  <strong>
   Vaccination Requirements
  </strong>
 </p>
 <p>
  COVID-19 vaccination is an essential requirement under the Emergency Management (Healthcare Setting Workers Vaccination) (COVID-19) Directions 2021 to work in a SA Health/health care setting.
 </p>
 <p>
  <strong>
   Enquiries
  </strong>
 </p>
 <p>
  Alison Wall
 </p>
 <p>
  Office Manager
 </p>
 <p>
  Phone:
  <a data-contact-match=""true"" href=""tel:8226 6771"">
   8226 6771
  </a>
 </p>
 <p>
  E-mail:
  <a href=""mailto:Alison.Wall@sa.gov.au"" target=""_blank"">
   Alison.Wall@sa.gov.au
  </a>
 </p>
 <p>
  <strong>
   Application Closing Date
  </strong>
 </p>
 <p>
  Wednesday, 01 June 2022 - 11.55PM
 </p>
 <p>
  <strong>
   Attachments
  </strong>
 </p>
 <ul>
  <li>
   <a href=""https://secure.dc2.pageuppeople.com/apply/TransferRichTextFile.ashx?sData=UFUtVjMtos3JzLoYxpk4uh0ist_Qu-Ria6unMBICw4N7ByroiONFDUrLhPlCD5C4eAKl98ndNA1tDhbydK9-FvrFS8-HHjgG877CSpJxnk82jcyE_Q4lsGn0gGhgxS5rIkmPPaM6Kozg7j-QvzXlBwJH9uHVIA%7e%7e"" target=""_blank"">
    793769 - Senior Data Analyst - Commissioning and Performance - Role Description.pdf
   </a>
  </li>
  <li>
   <a href=""https://www.sahealth.sa.gov.au/wps/wcm/connect/public+content/sa+health+internet/careers/how+to+apply/australian+applicant+guidelines"" target=""_blank"">
    Australian Applicant Guidelines
   </a>
  </li>
  <li>
   <a href=""https://www.sahealth.sa.gov.au/wps/wcm/connect/public+content/sa+health+internet/careers/how+to+apply/international+applicant+guidelines"" target=""_blank"">
    International Applicant Guidelines
   </a>
  </li>
 </ul>
</div>"
ASO6 Data Analyst (Multiple Positions),Department for Education,Adelaide,Science & Technology,"Mathematics, Statistics & Information Sciences",0,Contract/Temp,09/05/2022,https://www.seek.com.au//job/56903759?type=standout,"<div class=""yvsb870 _1v38w810"">
 <p>
  The Data Analyst in the Performance Reporting and Analytics team is responsible for coordinating and undertaking a range of complex data analyses and writing high quality reports which can be used to identify policy and strategic implications. The work of the Data Analyst informs and complements the department’s business intelligence capability and capacity to analyse, manipulate and present data in ways that support the strategic directions of the agency and government.
 </p>
 <p>
  Please note there are 2 x full-time (1.0 FTE) contracts up to 30 June 2023 and one full-time (1.0 FTE) ongoing role.
 </p>
 <p>
  Please note to be employed by the department, applicants must be vaccinated against COVID-19 or have an approved medical exemption endorsed by a duly qualified medical practitioner. Unvaccinated people must comply with conditions for unvaccinated people as outlined in the Department’s website. Proof of vaccination status must be provided for sighting on request.
 </p>
 <p>
  The successful applicant is required to gain a Department for Human Services (DHS) working with children check (WWCC) prior to being employed which is required to be renewed every five years before expiry. The incumbent will be required to undertake RRHAN –EC (Responding to Risks of Harm, Abuse and Neglect - Education Care) Facilitator Lead (Masterclass) extended course or the online (Fundamentals) course which will be required to be updated every three years.
  <br/>
  For all other Special Conditions please refer to the Role Description.
 </p>
 <p>
  Applicants are required to submit a CV, the Application Cover Sheet, Employment Declaration, and a written statement of no more than 1500 words. Written statements should address the criteria outlined in the Role Description. Applicants should include the name, address and contact number of three (3) referees, one being your current line manager.
 </p>
 <p>
  Enquiries may be addressed to Sandra Pattison on Tel:
  <a data-contact-match=""true"" href=""tel:8226 1104"">
   8226 1104
  </a>
  or Email:
  <a href=""mailto:Sandra.pattison@sa.gov.au"">
   Sandra.pattison@sa.gov.au
  </a>
 </p>
 <p>
  For further information and details on how to apply for this vacancy, please go to iworkfor.sa.gov.au and search for vacancy number 484175.
 </p>
 <p>
  The South Australian public sector promotes diversity and flexible ways of working including part-time. Applicants are encouraged to discuss the flexible working arrangements for this role.
 </p>
 <p>
  <strong>
   Closing date is 22/05/2022  5.00PM
  </strong>
 </p>
</div>"
Business Analyst,Advance Business Consulting,Adelaide,Information & Communication Technology,Business/Systems Analysts,"$95,000 - $109,999",Full time,20/05/2022,https://www.seek.com.au//job/57066032?type=standard,"<div class=""yvsb870 _1v38w810"">
 <p>
  At Advance, we build financial processing systems which use technologies on desktop, cloud and mobile.
 </p>
 <p>
  You would be working as part of a team that is building a financial services application based on the Microsoft stack.
 </p>
 <p>
  You will be responsible for analysis and specification creation for new features and changes as part of an existing insurance management system.
 </p>
 <p>
  Part of your role will be to assist the project management function by ensuring that the deliverables will be met. The core project team has worked well together for many years.
 </p>
 <p>
  <strong>
   You will need to:
  </strong>
 </p>
 <ul>
  <li>
   Learn the system
  </li>
  <li>
   Read and understand the existing specifications
  </li>
  <li>
   Identify the key user requirements and existing system architecture
  </li>
  <li>
   Communicate and document project progress
  </li>
 </ul>
 <p>
  <strong>
   Essential Experience:
  </strong>
 </p>
 <ul>
  <li>
   3+ years of structured business &amp; process analysis
  </li>
  <li>
   Specification development
  </li>
  <li>
   Project management
  </li>
 </ul>
 <p>
  <strong>
   Desirable Experience:
  </strong>
 </p>
 <ul>
  <li>
   Insurance or Finance industry
  </li>
 </ul>
 <p>
  <strong>
   Qualifications
  </strong>
 </p>
 <ul>
  <li>
   A degree or equivalent experience in Computer Science or related field
  </li>
 </ul>
 <p>
  If you feel you have the right mix of experience, enthusiasm and prepared to do
  <em>
   some
  </em>
  hard work, then we
  <strong>
   want
  </strong>
  you.
 </p>
</div>"
Business Analyst - Data,Osborne Richardson,Adelaide,Information & Communication Technology,Business/Systems Analysts,0,Contract/Temp,16/05/2022,https://www.seek.com.au//job/56992761?type=standard,"<div class=""yvsb870 _1v38w810"">
 <ul>
  <li>
   July Start
  </li>
  <li>
   Initial 12-month contract with a 12-month extension available
  </li>
  <li>
   $950/day plus Super
  </li>
  <li>
   Open to Australian Citizens
  </li>
 </ul>
 <p>
  We are looking for an experienced business analyst with detailed data and analytics experience to work in the new Data and Analytics Office (DAO).
 </p>
 <p>
  <strong>
   Responsibilities:
  </strong>
 </p>
 <ul>
  <li>
   Working in multi-disciplinary teams to deliver data and analytics projects using Agile approaches.
  </li>
  <li>
   Working with business to understand data requirements and issues.
  </li>
  <li>
   Working with ICT and business systems teams to identify data and make data available for analysis.
  </li>
  <li>
   Delivering robust, user-focused data insights using Power BI, and other BI tools.
  </li>
  <li>
   Establishing productivity systems and processes – providing input into processes and systems (e.g. DevOps and Git) to manage work and share code.
  </li>
 </ul>
 <p>
  <strong>
   Essential Criteria:
  </strong>
 </p>
 <ul>
  <li>
   Active engagement with the business to understand data requirements and issues.
  </li>
  <li>
   Assistance drafting business requirements and scoping material to suit business needs.
  </li>
  <li>
   Assist with data analysis and investigation.
  </li>
  <li>
   Work with ICT and Business Systems teams to confirm requirements, remediate issues and communicate with the business.
  </li>
  <li>
   Relevant tertiary qualifications (in business analysis, computer science, science) or comparable industry experience.
  </li>
  <li>
   Ability to obtain baseline clearance.
  </li>
 </ul>
 <p>
  <strong>
   Desirable Criteria:
  </strong>
 </p>
 <ul>
  <li>
   Azure DevOps for managing work activities.
  </li>
  <li>
   Power BI experience.
  </li>
 </ul>
 <p>
  Thank you for your application; due to the volume of applications we may not be able to respond to all applicants.
 </p>
 <p>
  Best of luck with your job search.
 </p>
 <p>
 </p>
</div>"
Senior Data Analyst,SA Health,Adelaide,Government & Defence,Government - State,0,Full time,18/05/2022,https://www.seek.com.au//job/57015412?type=standard,"<div class=""yvsb870 _1v38w810"">
 <ul>
  <li>
   <strong>
    Department for Health and Wellbeing, Commissioning and Performance – Enterprise Data and Information
   </strong>
  </li>
  <li>
   <strong>
    Salary: $94,176 to $99,615 – ASO6 – Full Time / Ongoing Appointment
   </strong>
  </li>
 </ul>
 <p>
  The Senior Data Analyst is responsible for the delivery of objective, high quality, professional and timely statistical analysis, interpretation and reporting of health related data that is critical to and addresses the information requirements of the Department for Health and Wellbeing
 </p>
 <p>
  The South Australian public sector promotes diversity and flexible ways of working part-time. Applicants are encouraged to discuss the flexible working arrangements for this role. Appointment will be subject to a satisfactory Criminal History Check and appropriate immunisation requirements. Aboriginal and Torres Strait Islander applicants are encouraged to apply.
  <strong>
   Job ref: 793769
  </strong>
 </p>
 <p>
  <strong>
   Vaccination Requirements
  </strong>
 </p>
 <p>
  COVID-19 vaccination is an essential requirement under the Emergency Management (Healthcare Setting Workers Vaccination) (COVID-19) Directions 2021 to work in a SA Health/health care setting.
 </p>
 <p>
  <strong>
   Enquiries
  </strong>
 </p>
 <p>
  Alison Wall
 </p>
 <p>
  Office Manager
 </p>
 <p>
  Phone:
  <a data-contact-match=""true"" href=""tel:8226 6771"">
   8226 6771
  </a>
 </p>
 <p>
  E-mail:
  <a href=""mailto:Alison.Wall@sa.gov.au"" target=""_blank"">
   Alison.Wall@sa.gov.au
  </a>
 </p>
 <p>
  <strong>
   Application Closing Date
  </strong>
 </p>
 <p>
  Wednesday, 01 June 2022 - 11.55PM
 </p>
 <p>
  <strong>
   Attachments
  </strong>
 </p>
 <ul>
  <li>
   <a href=""https://secure.dc2.pageuppeople.com/apply/TransferRichTextFile.ashx?sData=UFUtVjMtos3JzLoYxpk4uh0ist_Qu-Ria6unMBICw4N7ByroiONFDUrLhPlCD5C4eAKl98ndNA1tDhbydK9-FvrFS8-HHjgG877CSpJxnk82jcyE_Q4lsGn0gGhgxS5rIkmPPaM6Kozg7j-QvzXlBwJH9uHVIA%7e%7e"" target=""_blank"">
    793769 - Senior Data Analyst - Commissioning and Performance - Role Description.pdf
   </a>
  </li>
  <li>
   <a href=""https://www.sahealth.sa.gov.au/wps/wcm/connect/public+content/sa+health+internet/careers/how+to+apply/australian+applicant+guidelines"" target=""_blank"">
    Australian Applicant Guidelines
   </a>
  </li>
  <li>
   <a href=""https://www.sahealth.sa.gov.au/wps/wcm/connect/public+content/sa+health+internet/careers/how+to+apply/international+applicant+guidelines"" target=""_blank"">
    International Applicant Guidelines
   </a>
  </li>
 </ul>
</div>"
ASO6 Data Analyst (Multiple Positions),Department for Education,Adelaide,Government & Defence,Government - State,0,Contract/Temp,09/05/2022,https://www.seek.com.au//job/56903760?type=standout,"<div class=""yvsb870 _1v38w810"">
 <p>
  The Data Analyst in the Performance Reporting and Analytics team is responsible for coordinating and undertaking a range of complex data analyses and writing high quality reports which can be used to identify policy and strategic implications. The work of the Data Analyst informs and complements the department’s business intelligence capability and capacity to analyse, manipulate and present data in ways that support the strategic directions of the agency and government.
 </p>
 <p>
  Please note there are 2 x full-time (1.0 FTE) contracts up to 30 June 2023 and one full-time (1.0 FTE) ongoing role.
 </p>
 <p>
  Please note to be employed by the department, applicants must be vaccinated against COVID-19 or have an approved medical exemption endorsed by a duly qualified medical practitioner. Unvaccinated people must comply with conditions for unvaccinated people as outlined in the Department’s website. Proof of vaccination status must be provided for sighting on request.
 </p>
 <p>
  The successful applicant is required to gain a Department for Human Services (DHS) working with children check (WWCC) prior to being employed which is required to be renewed every five years before expiry. The incumbent will be required to undertake RRHAN –EC (Responding to Risks of Harm, Abuse and Neglect - Education Care) Facilitator Lead (Masterclass) extended course or the online (Fundamentals) course which will be required to be updated every three years.
  <br/>
  For all other Special Conditions please refer to the Role Description.
 </p>
 <p>
  Applicants are required to submit a CV, the Application Cover Sheet, Employment Declaration, and a written statement of no more than 1500 words. Written statements should address the criteria outlined in the Role Description. Applicants should include the name, address and contact number of three (3) referees, one being your current line manager.
 </p>
 <p>
  Enquiries may be addressed to Sandra Pattison on Tel:
  <a data-contact-match=""true"" href=""tel:8226 1104"">
   8226 1104
  </a>
  or Email:
  <a href=""mailto:Sandra.pattison@sa.gov.au"">
   Sandra.pattison@sa.gov.au
  </a>
 </p>
 <p>
  For further information and details on how to apply for this vacancy, please go to iworkfor.sa.gov.au and search for vacancy number 484175.
 </p>
 <p>
  The South Australian public sector promotes diversity and flexible ways of working including part-time. Applicants are encouraged to discuss the flexible working arrangements for this role.
 </p>
 <p>
  <strong>
   Closing date is 22/05/2022  5.00PM
  </strong>
 </p>
</div>"
